group,participant,bin,targetCount,distractorCount,targetProp,target,verb,condition,coda,eLog,wts,landmark,lm_bin,landmark_2,phon_prob,biphon_prob,freq,pstm,wm
lb,L29,134,10,0,1,cantó,cantar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,6
lb,L29,102,10,0,1,guarda,guardar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,102,tw_start,0.1391,0.002,NA,NA,6
lb,L29,106,0,10,0,rompió,romper,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,6
lb,L29,122,10,0,1,cambia,cambiar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,122,tw_start,0.2947,0.0356,128,NA,6
lb,L29,127,0,10,0,lanzó,lanzar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,6
lb,L20,112,10,0,1,bebió,beber,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2518,0.0132,53,NA,10
lb,L20,123,10,0,1,llena,llenar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.1946,5e-4,371,NA,10
lb,L20,112,10,0,1,mandó,mandar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2871,0.0384,89,NA,10
lb,L20,134,10,0,1,firma,firmar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.1185,0.0055,174,NA,10
lb,L20,107,10,0,1,subió,subir,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.1146,0.0136,NA,NA,10
lb,L20,107,0,10,0,pinta,pintar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.2548,0.0158,87,NA,10
lb,L20,119,0,10,0,comió,comer,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2422,0.053900000000000003,23,NA,10
lb,L20,107,0,10,0,saca,sacar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.201,0.0114,NA,NA,10
lb,L20,105,0,10,0,lavó,lavar,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1638,0.0065,10,NA,10
lb,L20,113,0,10,0,graba,grabar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,113,tw_start,0.0908,0.0016,10,NA,10
lb,L20,118,0,10,0,compró,comprar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,118,tw_start,0.2911,0.0703,72,NA,10
lb,L20,134,10,0,1,canta,cantar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,10
lb,L20,105,10,0,1,guardó,guardar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1391,0.002,NA,NA,10
lb,L20,106,10,0,1,rompe,romper,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,10
lb,L20,123,0,10,0,cambió,cambiar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.2947,0.0356,109,NA,10
lb,L20,127,10,0,1,lanza,lanzar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,10
lb,L27,111,0,8,0,bebe,beber,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,111,tw_start,0.2518,0.0132,50,NA,6
lb,L27,127,10,0,1,llenó,llenar,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.1946,5e-4,61,NA,6
lb,L27,115,10,0,1,manda,mandar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,115,tw_start,0.2871,0.0384,110,NA,6
lb,L27,131,10,0,1,firmó,firmar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,131,tw_start,0.1185,0.0055,47,NA,6
lb,L27,108,10,0,1,sube,subir,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,108,tw_start,0.1146,0.0136,NA,NA,6
lb,L27,107,0,10,0,pintó,pintar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.2548,0.0158,17,NA,6
lb,L27,121,0,0,0,come,comer,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,121,tw_start,0.2422,0.053900000000000003,87,NA,6
